CMDLINE C:\Users\Firefly\GPU_Project\Anaconda\envs\rltest\python.exe gpu_RL.py
MEM 556.402344 1623599052.0626
MEM 711.218750 1623599052.1746
MEM 880.187500 1623599052.2866
MEM 961.843750 1623599052.3986
MEM 933.925781 1623599052.5106
MEM 1017.402344 1623599052.6226
MEM 1057.203125 1623599052.7346
MEM 1129.648438 1623599052.8466
MEM 1451.855469 1623599052.9566
MEM 1419.074219 1623599053.0686
MEM 1419.074219 1623599053.1806
MEM 1419.074219 1623599053.2916
MEM 1419.074219 1623599053.4016
MEM 1419.101562 1623599053.5126
MEM 1514.699219 1623599053.6246
MEM 1450.707031 1623599053.7366
MEM 1450.707031 1623599053.8486
MEM 1450.707031 1623599053.9606
MEM 1450.707031 1623599054.0726
MEM 1450.707031 1623599054.1846
MEM 1450.707031 1623599054.2966
MEM 1450.707031 1623599054.4086
MEM 1450.707031 1623599054.5206
MEM 1450.707031 1623599054.6327
MEM 1450.707031 1623599054.7447
MEM 1450.707031 1623599054.8567
MEM 1450.707031 1623599054.9687
MEM 1450.707031 1623599055.0807
MEM 1450.707031 1623599055.1927
MEM 1450.707031 1623599055.3047
MEM 1450.707031 1623599055.4167
MEM 1450.707031 1623599055.5287
MEM 1450.707031 1623599055.6407
MEM 1450.707031 1623599055.7527
MEM 1450.707031 1623599055.8647
MEM 1450.707031 1623599055.9767
MEM 1450.707031 1623599056.0867
MEM 1450.707031 1623599056.1967
MEM 1450.707031 1623599056.3087
MEM 1450.707031 1623599056.4207
MEM 1450.707031 1623599056.5307
MEM 1450.707031 1623599056.6427
MEM 1450.707031 1623599056.7547
MEM 1450.707031 1623599056.8667
MEM 1450.707031 1623599056.9787
MEM 1450.707031 1623599057.0907
MEM 1450.707031 1623599057.2027
MEM 1450.707031 1623599057.3147
MEM 1450.707031 1623599057.4267
MEM 1450.707031 1623599057.5387
MEM 1450.707031 1623599057.6507
MEM 1450.707031 1623599057.7627
MEM 1450.707031 1623599057.8747
MEM 1450.707031 1623599057.9867
MEM 1450.707031 1623599058.0987
MEM 1450.707031 1623599058.2107
MEM 1450.707031 1623599058.3227
MEM 1450.707031 1623599058.4347
MEM 1450.707031 1623599058.5467
MEM 1450.707031 1623599058.6587
MEM 1450.707031 1623599058.7687
MEM 1450.707031 1623599058.8807
MEM 1450.707031 1623599058.9927
MEM 1450.707031 1623599059.1047
MEM 1450.707031 1623599059.2167
MEM 1450.707031 1623599059.3287
MEM 1450.707031 1623599059.4407
MEM 1450.707031 1623599059.5527
MEM 1450.707031 1623599059.6627
MEM 1450.707031 1623599059.7747
MEM 1450.707031 1623599059.8867
MEM 1450.707031 1623599059.9987
MEM 1450.707031 1623599060.1107
MEM 1450.707031 1623599060.2227
MEM 1450.707031 1623599060.3347
